word_id	utterance_id	location	surface	auto	fix	eng	speaker	langid	filename	clause	clauseno
1	1	1	el	the.DET.DEF.M.SG			HEN	spa	zeledon4		
2	1	2	tema	topic.N.M.SG			HEN	spa	zeledon4		
3	1	3	es	be.V.3S.PRES			HEN	spa	zeledon4		
4	1	4	de	of.PREP			HEN	spa	zeledon4		
5	1	5	lo	the.DET.DEF.NT.SG			HEN	spa	zeledon4		
6	1	6	que	that.PRON.REL			HEN	spa	zeledon4		
7	1	7	de	of.PREP			HEN	spa	zeledon4		
8	1	8	lo	the.DET.DEF.NT.SG			HEN	spa	zeledon4		
9	1	9	del	of_the.PREP+DET.DEF.M.SG			HEN	spa	zeledon4		
10	1	10	manicure	manicure.N.SG			HEN	eng	zeledon4		
11	1	11	manicure	manicure.N.SG			HEN	eng	zeledon4		
12	1	12	y	and.CONJ			HEN	spa	zeledon4		
13	1	13	pedicure	pedicure.N.SG			HEN	eng	zeledon4		
14	1	14	que	that.PRON.REL			HEN	spa	zeledon4		
15	1	15	los	the.DET.DEF.M.PL			HEN	spa	zeledon4		
16	1	16	hombres	man.N.M.PL			HEN	spa	zeledon4		
17	1	17	se	self.PRON.REFL.MF.3SP			HEN	spa	zeledon4		
18	1	18	hacen	do.V.3P.PRES			HEN	spa	zeledon4		
19	1	19	.				HEN	999	zeledon4		
20	2	1	qué	what.INT			HEN	spa	zeledon4		
21	2	2	piensa	think.V.2S.IMPER.[or].think.V.3S.PRES			HEN	spa	zeledon4		
22	2	3	usted	you.PRON.SUB.MF.3S			HEN	spa	zeledon4		
23	2	4	de	of.PREP			HEN	spa	zeledon4		
24	2	5	eso	that.PRON.DEM.NT.SG			HEN	spa	zeledon4		
25	2	6	?				HEN	999	zeledon4		
26	3	1	er	er.IM			ETH	eng&spa	zeledon4		
27	3	2	I	I.PRON.SUB.1S			ETH	eng	zeledon4		
28	3	3	think	think.V.1S.PRES			ETH	eng	zeledon4		
29	3	4	I	I.PRON.SUB.1S			ETH	eng	zeledon4		
30	3	5	think	think.V.1S.PRES			ETH	eng	zeledon4		
31	3	6	it's	it.PRON.SUB.3S+BE.V.3S.PRES			ETH	eng	zeledon4		
32	3	7	a	a.DET.INDEF			ETH	eng	zeledon4		
33	3	8	little	little.ADJ			ETH	eng	zeledon4		
34	3	9	I	I.PRON.SUB.1S			ETH	eng	zeledon4		
35	3	10	think	think.V.1S.PRES			ETH	eng	zeledon4		
36	3	11	it's	it.PRON.SUB.3S+BE.V.3S.PRES			ETH	eng	zeledon4		
37	3	12	nice	nice.ADJ			ETH	eng	zeledon4		
38	3	13	it's	it.PRON.SUB.3S+BE.V.3S.PRES			ETH	eng	zeledon4		
39	3	14	nice	nice.ADJ			ETH	eng	zeledon4		
40	3	15	to	to.PREP			ETH	eng	zeledon4		
41	3	16	to	to.PREP			ETH	eng	zeledon4		
42	3	17	be	be.V.INFIN			ETH	eng	zeledon4		
43	3	18	to	to.PREP			ETH	eng	zeledon4		
44	3	19	have	have.V.INFIN			ETH	eng	zeledon4		
45	3	20	manicures	manicure.N.PL			ETH	eng	zeledon4		
46	3	21	and	and.CONJ			ETH	eng	zeledon4		
47	3	22	pedicures	pedicure.N.PL			ETH	eng	zeledon4		
48	3	23	.				ETH	999	zeledon4		
49	4	1	it's	it.PRON.SUB.3S+BE.V.3S.PRES			ETH	eng	zeledon4		
50	4	2	er	er.IM			ETH	eng	zeledon4		
51	4	3	.				ETH	999	zeledon4		
52	5	1	yo	I.PRON.SUB.MF.1S			ETH	spa	zeledon4		
53	5	2	yo	I.PRON.SUB.MF.1S			ETH	spa	zeledon4		
54	5	3	pienso	think.V.1S.PRES			ETH	spa	zeledon4		
55	5	4	que	that.CONJ			ETH	spa	zeledon4		
56	5	5	está	be.V.3S.PRES			ETH	spa	zeledon4		
57	5	6	bien	good.N.M.SG			ETH	spa	zeledon4		
58	5	7	que	that.PRON.REL			ETH	spa	zeledon4		
59	5	8	que	that.CONJ			ETH	spa	zeledon4		
60	5	9	es	be.V.3S.PRES			ETH	spa	zeledon4		
61	5	10	bien	good.N.M.SG			ETH	spa	zeledon4		
62	5	11	que	that.PRON.REL			ETH	spa	zeledon4		
63	5	12	.				ETH	999	zeledon4		
64	6	1	a	to.PREP			HEN	spa	zeledon4		
65	6	2	ti	you.PRON.PREP.MF.2S			HEN	spa	zeledon4		
66	6	3	te	you.PRON.OBL.MF.2S			HEN	spa	zeledon4		
67	6	4	gusta	like.V.3S.PRES			HEN	spa	zeledon4		
68	6	5	eso	that.PRON.DEM.NT.SG			HEN	spa	zeledon4		
69	6	6	?				HEN	999	zeledon4		
70	7	1	sí	yes.ADV			ETH	spa	zeledon4		
71	7	2	no	not.ADV			ETH	spa	zeledon4		
72	7	3	yo	I.PRON.SUB.MF.1S			ETH	spa	zeledon4		
73	7	4	a	to.PREP			ETH	spa	zeledon4		
74	7	5	mí	me.PRON.PREP.MF.1S			ETH	spa	zeledon4		
75	7	6	no	not.ADV			ETH	spa	zeledon4		
76	7	7	me	me.PRON.OBL.MF.1S			ETH	spa	zeledon4		
77	7	8	gusta	like.V.3S.PRES			ETH	spa	zeledon4		
78	7	9	pero	but.CONJ			ETH	spa	zeledon4		
79	7	10	.				ETH	999	zeledon4		
80	8	1	yo	I.PRON.SUB.MF.1S			ETH	spa	zeledon4		
81	8	2	creo	believe.V.1S.PRES			ETH	spa	zeledon4		
82	8	3	que	that.CONJ			ETH	spa	zeledon4		
83	8	4	a	to.PREP			ETH	spa	zeledon4		
84	8	5	a	to.PREP			ETH	spa	zeledon4		
85	8	6	ti	you.PRON.PREP.MF.2S			ETH	spa	zeledon4		
86	8	7	te	you.PRON.OBL.MF.2S			ETH	spa	zeledon4		
87	8	8	gusta	like.V.3S.PRES			ETH	spa	zeledon4		
88	8	9	no	not.ADV			ETH	spa	zeledon4		
89	8	10	?				ETH	999	zeledon4		
90	9	1	no	not.ADV			HEN	spa	zeledon4		
91	9	2	a	to.PREP			HEN	spa	zeledon4		
92	9	3	mí	me.PRON.PREP.MF.1S			HEN	spa	zeledon4		
93	9	4	no	not.ADV			HEN	spa	zeledon4		
94	9	5	me	me.PRON.OBL.MF.1S			HEN	spa	zeledon4		
95	9	6	gusta	like.V.3S.PRES			HEN	spa	zeledon4		
96	9	7	.				HEN	999	zeledon4		
97	10	1	yo	I.PRON.SUB.MF.1S			HEN	spa	zeledon4		
98	10	2	estoy	be.V.1S.PRES			HEN	spa	zeledon4		
99	10	3	preguntándote	ask.V.PRESPART.PRECLITIC+TE[PRON.MF.2S]			HEN	spa	zeledon4		
100	10	4	.				HEN	999	zeledon4		
101	11	1	pero	but.CONJ			HEN	spa	zeledon4		
102	11	2	si	if.CONJ			HEN	spa	zeledon4		
103	11	3	tú	you.PRON.SUB.MF.2S			HEN	spa	zeledon4		
104	11	4	dices	tell.V.2S.PRES			HEN	spa	zeledon4		
105	11	5	que	that.CONJ			HEN	spa	zeledon4		
106	11	6	que	that.CONJ			HEN	spa	zeledon4		
107	11	7	que	that.CONJ			HEN	spa	zeledon4		
108	11	8	a	to.PREP			HEN	spa	zeledon4		
109	11	9	ti	you.PRON.PREP.MF.2S			HEN	spa	zeledon4		
110	11	10	te	you.PRON.OBL.MF.2S			HEN	spa	zeledon4		
111	11	11	gusta	like.V.3S.PRES			HEN	spa	zeledon4		
112	11	12	y	and.CONJ			HEN	spa	zeledon4		
113	11	13	te	you.PRON.OBL.MF.2S			HEN	spa	zeledon4		
114	11	14	parece	seem.V.3S.PRES			HEN	spa	zeledon4		
115	11	15	nice	nice.ADJ			HEN	eng	zeledon4		
116	11	16	yo	I.PRON.SUB.MF.1S			HEN	spa	zeledon4		
117	11	17	yo	I.PRON.SUB.MF.1S			HEN	spa	zeledon4		
118	11	18	respeto	respect.V.1S.PRES			HEN	spa	zeledon4		
119	11	19	tu	your.ADJ.POSS.MF.2S.SG			HEN	spa	zeledon4		
120	11	20	tu	your.ADJ.POSS.MF.2S.SG			HEN	spa	zeledon4		
121	11	21	.				HEN	999	zeledon4		
122	12	1	no	not.ADV			ETH	spa	zeledon4		
123	12	2	para	for.PREP			ETH	spa	zeledon4		
124	12	3	otra	other.ADJ.F.SG			ETH	spa	zeledon4		
125	12	4	persona	person.N.F.SG			ETH	spa	zeledon4		
126	12	5	para	for.PREP			ETH	spa	zeledon4		
127	12	6	otra	other.ADJ.F.SG			ETH	spa	zeledon4		
128	12	7	persona	person.N.F.SG			ETH	spa	zeledon4		
129	12	8	.				ETH	999	zeledon4		
130	13	1	yo	I.PRON.SUB.MF.1S			HEN	spa	zeledon4		
131	13	2	respeto	respect.V.1S.PRES			HEN	spa	zeledon4		
132	13	3	tu	your.ADJ.POSS.MF.2S.SG			HEN	spa	zeledon4		
133	13	4	forma	shape.N.F.SG			HEN	spa	zeledon4		
134	13	5	de	of.PREP			HEN	spa	zeledon4		
135	13	6	pensar	think.V.INFIN			HEN	spa	zeledon4		
136	13	7	.				HEN	999	zeledon4		
137	14	1	not	not.ADV			ETH	eng	zeledon4		
138	14	2	for	for.PREP			ETH	eng	zeledon4		
139	14	3	me	me.PRON.OBJ.1S			ETH	eng	zeledon4		
140	14	4	not	not.ADV			ETH	eng	zeledon4		
141	14	5	for	for.PREP			ETH	eng	zeledon4		
142	14	6	me	me.PRON.OBJ.1S			ETH	eng	zeledon4		
143	14	7	.				ETH	999	zeledon4		
144	15	1	what	what.REL			ETH	eng	zeledon4		
145	15	2	about	about.PREP			ETH	eng	zeledon4		
146	15	3	you	you.PRON.SUB.2SP			ETH	eng	zeledon4		
147	15	4	?				ETH	999	zeledon4		
148	16	1	are	are.V.123P.PRES			ETH	eng	zeledon4		
149	16	2	you	you.PRON.SUB.2SP			ETH	eng	zeledon4		
150	16	3	are	are.V.2SP.PRES			ETH	eng	zeledon4		
151	16	4	you	you.PRON.SUB.2SP			ETH	eng	zeledon4		
152	16	5	what	what.REL			ETH	eng	zeledon4		
153	16	6	they	they.PRON.SUB.3P			ETH	eng	zeledon4		
154	16	7	call	call.V.3P.PRES			ETH	eng	zeledon4		
155	16	8	a	a.DET.INDEF			ETH	eng	zeledon4		
156	16	9	metrosexual	unk			ETH	eng	zeledon4		
157	16	10	metrosexual	unk			ETH	eng	zeledon4		
158	16	11	?				ETH	999	zeledon4		
159	17	1	yo	I.PRON.SUB.MF.1S			HEN	spa	zeledon4		
160	17	2	no	not.ADV			HEN	spa	zeledon4		
161	17	3	yo	I.PRON.SUB.MF.1S			HEN	spa	zeledon4		
162	17	4	no	not.ADV			HEN	spa	zeledon4		
163	17	5	me	me.PRON.OBL.MF.1S			HEN	spa	zeledon4		
164	17	6	lo	him.PRON.OBJ.M.3S			HEN	spa	zeledon4		
165	17	7	hago	do.V.1S.PRES			HEN	spa	zeledon4		
166	17	8	.				HEN	999	zeledon4		
167	18	1	yo	I.PRON.SUB.MF.1S			HEN	spa	zeledon4		
168	18	2	no	not.ADV			HEN	spa	zeledon4		
169	18	3	me	me.PRON.OBL.MF.1S			HEN	spa	zeledon4		
170	18	4	lo	him.PRON.OBJ.M.3S			HEN	spa	zeledon4		
171	18	5	hago	do.V.1S.PRES			HEN	spa	zeledon4		
172	18	6	y	and.CONJ			HEN	spa	zeledon4		
173	18	7	.				HEN	999	zeledon4		
174	19	1	no	no.ADV			ETH	eng	zeledon4		
175	19	2	pero	unk			ETH	eng	zeledon4		
176	19	3	er	er.IM			ETH	eng&spa	zeledon4		
177	19	4	just	just.ADV			ETH	eng	zeledon4		
178	19	5	going	go.V.PRESPART			ETH	eng	zeledon4		
179	19	6	on	on.PREP			ETH	eng	zeledon4		
180	19	7	to	to.PREP			ETH	eng	zeledon4		
181	19	8	something	something.PRON			ETH	eng	zeledon4		
182	19	9	else	else.ADJ			ETH	eng	zeledon4		
183	19	10	.				ETH	999	zeledon4		
184	20	1	are	are.V.123P.PRES			ETH	eng	zeledon4		
185	20	2	you	you.PRON.SUB.2SP			ETH	eng	zeledon4		
186	20	3	a	a.DET.INDEF			ETH	eng	zeledon4		
187	20	4	metrosexual	unk			ETH	eng	zeledon4		
188	20	5	?				ETH	999	zeledon4		
189	21	1	oh	oh.IM			HEN	eng	zeledon4		
190	21	2	no	no.ADV			HEN	eng	zeledon4		
191	21	3	I'm	I.PRON.SUB.1S+BE.V.PRES			HEN	eng	zeledon4		
192	21	4	not	not.ADV			HEN	eng	zeledon4		
193	21	5	.				HEN	999	zeledon4		
194	22	1	tú	you.PRON.SUB.MF.2S			ETH	spa	zeledon4		
195	22	2	no	not.ADV			ETH	spa	zeledon4		
196	22	3	crees	believe.V.2S.PRES.[or].create.V.2S.SUBJ.PRES			ETH	spa	zeledon4		
197	22	4	?				ETH	999	zeledon4		
198	23	1	no	not.ADV			HEN	spa	zeledon4		
199	23	2	.				HEN	999	zeledon4		
200	24	1	yo	I.PRON.SUB.MF.1S			HEN	spa	zeledon4		
201	24	2	creo	believe.V.1S.PRES			HEN	spa	zeledon4		
202	24	3	que	that.CONJ			HEN	spa	zeledon4		
203	24	4	me	me.PRON.OBL.MF.1S			HEN	spa	zeledon4		
204	24	5	lo	him.PRON.OBJ.M.3S			HEN	spa	zeledon4		
205	24	6	hago	do.V.1S.PRES			HEN	spa	zeledon4		
206	24	7	simplemente	simply.ADV			HEN	spa	zeledon4		
207	24	8	para	for.PREP			HEN	spa	zeledon4		
208	24	9	if	if.CONJ			HEN	eng	zeledon4		
209	24	10	I	I.PRON.SUB.1S			HEN	eng	zeledon4		
210	24	11	have	have.V.1S.PRES			HEN	eng	zeledon4		
211	24	12	a	a.DET.INDEF			HEN	eng	zeledon4		
212	24	13	party	party.N.SG			HEN	eng	zeledon4		
213	24	14	or	or.CONJ			HEN	eng	zeledon4		
214	24	15	something	something.PRON			HEN	eng	zeledon4		
215	24	16	like	like.CONJ.[or].like.SV.INFIN			HEN	eng	zeledon4		
216	24	17	that	that.DEM.FAR			HEN	eng	zeledon4		
217	24	18	.				HEN	999	zeledon4		
218	25	1	if	if.CONJ			ETH	eng	zeledon4		
219	25	2	you	you.PRON.SUB.2SP			ETH	eng	zeledon4		
220	25	3	have	have.V.2SP.PRES			ETH	eng	zeledon4		
221	25	4	a	a.DET.INDEF			ETH	eng	zeledon4		
222	25	5	party	party.N.SG			ETH	eng	zeledon4		
223	25	6	.				ETH	999	zeledon4		
224	26	1	if	if.CONJ			HEN	eng	zeledon4		
225	26	2	I	I.PRON.SUB.1S			HEN	eng	zeledon4		
226	26	3	have	have.V.1S.PRES			HEN	eng	zeledon4		
